schema_version,solver_version,observation_model,objective,centerline_direction_convention,experiment,experiment_label,noise_std_deg,camera_pitch_true_deg,camera_roll_true_deg,n_total,n_success,n_failure,failure_rate,yaw_mae_deg,yaw_rmse_deg,yaw_bias_deg,yaw_error_std_deg,yaw_median_abs_error_deg,yaw_p95_abs_error_deg,yaw_max_abs_error_deg,blade_mae_deg,blade_rmse_deg,blade_bias_deg,blade_error_std_deg,blade_median_abs_error_deg,blade_p95_abs_error_deg,blade_max_abs_error_deg,mean_direction_sse,mean_max_abs_collinearity_residual,mean_min_directed_scale,alpha_step_deg,yaw_step_deg,side_exclusion_deg,base_seed,group_seed,configured_repeats,effective_repeats,refinement_enabled,max_refine_seeds
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,0.0,-45.0,0.0,816,816,0,0.0,8.474267039727077e-14,3.9281726071977936e-13,-6.443647358608752e-15,3.927644074099752e-13,2.842170943040401e-14,1.9895196601282805e-13,6.934897101018578e-12,4.587180308804176e-14,1.814565990558985e-13,-4.475722624763376e-15,1.814013926294925e-13,1.4210854715202004e-14,1.509903313490213e-13,2.9558577807620168e-12,1.9885336817752554e-29,9.150668254371592e-16,0.5619198644893755,5.0,5.0,5.0,20260713,22260713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,1.0,-45.0,0.0,4080,4080,0,0.0,0.08869799082383792,0.13047348608125595,0.0026975753911847654,0.13044559654202423,0.058177032305749776,0.2802928215588238,0.7169972936597446,0.3199584596427567,0.4777688821932246,-0.00013176979236020217,0.47776886402201346,0.2003929141163887,1.0597504022794937,2.7093609577122493,6.155613665104671e-05,0.004798550338346172,0.5618684625819244,5.0,5.0,5.0,20260713,22260813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,2.0,-45.0,0.0,4080,4080,0,0.0,0.1791171007053012,0.2614358558118424,-0.004012913056995376,0.2614050558670728,0.11907250529618807,0.5640899881056739,1.4216133270239766,0.6632486202850589,0.9893571097574196,0.019469250543651055,0.9891655265479198,0.4193928596522625,2.171660550583548,5.910056116689034,0.000251514937180549,0.009746057789781193,0.5612044138684936,5.0,5.0,5.0,20260713,22260913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,4.0,-45.0,0.0,4080,4080,0,0.0,0.3562143152519817,0.5255406987478507,0.002360122983426259,0.525535399245267,0.23090338843907432,1.1378782026791903,2.979219520104948,1.3014806908379397,1.9814180846812763,0.023825036252949128,1.9812748405886456,0.8060954884527902,4.187493481065089,15.005799827346436,0.0009706186193656053,0.01906462262434416,0.5593976262072696,5.0,5.0,5.0,20260713,22261013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,0.0,0.0,0.0,816,816,0,0.0,1.8185742968169096e-08,2.501352460114097e-07,1.615177572517166e-08,2.4961322368438776e-07,2.842170943040401e-14,1.4210854715202004e-13,4.429794643101559e-06,4.4213970175697866e-10,8.48295343653336e-09,9.350050145893446e-11,8.482438131965366e-09,0.0,1.4210854715202004e-14,2.079348888628374e-07,2.0092776652732017e-18,9.6449576462635e-11,0.7376533546528464,5.0,5.0,5.0,20260713,22270713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,1.0,0.0,0.0,4080,4080,0,0.0,0.05190477151799925,0.08860459014968612,0.000455179308434699,0.08860342096889391,0.02608063831040397,0.19118048996319736,1.4339957342145908,0.2924946331427179,0.4401322260999092,-0.005259597581452896,0.4401007987778968,0.17953498051273797,0.9655312086278464,2.794190129868028,2.033156396383067e-05,0.0026345702437070174,0.7374291239152839,5.0,5.0,5.0,20260713,22270813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,2.0,0.0,0.0,4080,4080,0,0.0,0.1404256378035442,0.32944892330054876,-0.0010563308147442368,0.3294472298094198,0.06694108480931504,0.4492622887861171,4.999999942704221,0.6044363896011733,0.8936904173904725,-0.012760411357828665,0.8935993140314824,0.3778962501465344,1.93320167301066,5.653094938500885,8.541919879139268e-05,0.005492721025530968,0.7370481831192718,5.0,5.0,5.0,20260713,22270913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,4.0,0.0,0.0,4080,4080,0,0.0,0.3685291420149867,0.8199172637833144,0.00566488856338604,0.8198976939152113,0.15380443997766235,1.26961888594823,9.999999942704221,1.1846775424623124,1.7714371059928822,-0.030871283724931486,1.7711680847196891,0.7434389234742511,3.8712933269154233,10.685019711953373,0.0003538150941903116,0.010992790374711901,0.7359255778158307,5.0,5.0,5.0,20260713,22271013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,0.0,45.0,0.0,816,816,0,0.0,4.266739467186876e-14,2.4025114389338903e-13,3.099916837384751e-15,2.402311442292261e-13,2.842170943040401e-14,9.237055564881302e-14,4.718003765447065e-12,2.6863043380145945e-14,1.1217499085895468e-13,-9.082059723012064e-15,1.1180672951747676e-13,1.4210854715202004e-14,5.861977570020827e-14,2.0534685063466895e-12,4.624884087727408e-30,5.050070300982428e-16,0.5619198644893754,5.0,5.0,5.0,20260713,22280713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,1.0,45.0,0.0,4080,4080,0,0.0,0.09052070081484812,0.13148284410224073,-0.00072257828021429,0.13148085858345732,0.061065193341278245,0.28560338724487166,0.7225968907393394,0.32925881305200766,0.49546175189614955,0.011645030177376064,0.49532488415601494,0.2049820525630821,1.0596752116159944,3.599840646193911,6.359820410040846e-05,0.004916797597485009,0.5620813232232096,5.0,5.0,5.0,20260713,22280813,5,5,True,4
